"SETTLEMENT_PERIOD","halfhourlysolar","halfhourlywind","demand"
3,0,1394.69315068493,20354
3,0,1394.69315068493,20581
3,0,1394.69315068493,19638
3,0,1394.69315068493,19763
3,0,1394.69315068493,18633
3,0,1394.69315068493,18196
3,0,1394.69315068493,18029
3,0,1394.69315068493,18584
3,0,1394.69315068493,19546
3,0,1394.69315068493,19285
3,0,1394.69315068493,18898
3,0,1394.69315068493,18139
3,0,1394.69315068493,18241
3,0,1394.69315068493,19247
3,0,1394.69315068493,19431
3,0,1394.69315068493,19345
3,0,1394.69315068493,18633
3,0,1394.69315068493,18940
3,0,1394.69315068493,18067
3,0,1394.69315068493,18358
3,0,1394.69315068493,19475
3,0,1394.69315068493,19038
3,0,1394.69315068493,20139
3,0,1394.69315068493,19247
3,0,1394.69315068493,19057
3,0,1394.69315068493,18143
3,0,1394.69315068493,17710
3,0,1394.69315068493,18897
3,0,1394.69315068493,19287
3,0,1394.69315068493,19604
3,0,1394.69315068493,19048
3,0,1394.69315068493,18490
3,0,1394.69315068493,17499
3,0,1394.69315068493,17764
3,0,1394.69315068493,19389
3,0,1394.69315068493,19079
3,0,1394.69315068493,18979
3,0,1394.69315068493,19291
3,0,1394.69315068493,18835
3,0,1394.69315068493,18190
3,0,1394.69315068493,17899
3,0,1394.69315068493,18634
3,0,1394.69315068493,18548
3,0,1394.69315068493,19253
3,0,1394.69315068493,19529
